iter	Poisson
729	-332.6949845
730	-332.7216676
731	-332.7904594
732	-332.8507062
733	-332.9255667
734	-332.9673557
735	-333.030325
736	-333.1074672
737	-333.1272068
738	-333.1803699
739	-333.2381918
740	-333.2741629
741	-333.3090666
742	-333.3492319
743	-333.3952605
744	-333.4391179
745	-333.4968652
746	-333.5908755
747	-333.6105268
748	-333.6402778
749	-333.6864647
750	-333.708554
751	-333.7450175
752	-333.7961418
753	-333.8254333
754	-333.8581029
755	-333.8733018
756	-333.9197505
757	-333.949013
758	-333.9682805
759	-334.1222851
760	-334.1483763
761	-334.2145863
762	-334.2724741
763	-334.325061
764	-334.3885886
765	-334.4419744
766	-334.5168733
767	-334.5733602
768	-334.5997765
769	-334.6878275
770	-334.7453062
771	-334.7557183
772	-334.81309
773	-334.8430143
774	-334.8573633
775	-334.9026977
776	-334.9347816
777	-335.0064757
778	-335.1155915
779	-335.1871762
780	-335.2401106
781	-335.3115758
782	-335.3454493
783	-335.4230144
784	-335.4730303
785	-335.5302581
786	-335.577554
787	-335.596962
788	-335.6437685
789	-335.7651022
790	-335.7885218
791	-335.8482259
792	-335.9537675
793	-336.032156
794	-336.1270166
795	-336.1434735
796	-336.1951979
797	-336.2553131
798	-336.4317765
799	-336.4861464
800	-336.560488
801	-336.5814068
802	-336.6128336
803	-336.6579612
804	-336.6714487
805	-336.6993799
806	-336.7546287
807	-336.7935453
808	-336.8140375
809	-336.8687914
810	-336.8864691
811	-336.9524641
812	-337.003999
813	-337.0662912
814	-337.1085548
815	-337.1841423
816	-337.2288109
817	-337.2818951
818	-337.3213558
819	-337.351557
820	-337.3752244
821	-337.4437054
822	-337.4784404
823	-337.5128597
824	-337.534697
825	-337.5868111
826	-337.6253039
827	-337.6436771
828	-337.7055563
829	-337.796075
830	-337.8317588
831	-337.8850724
832	-337.9095688
833	-337.9542163
834	-338.010266
835	-338.1142882
836	-338.1925271
837	-338.2686104
838	-338.3016473
839	-338.3171839
840	-338.337334
841	-338.3975912
842	-338.4167546
843	-338.5771728
844	-338.6500033
845	-338.7007543
846	-338.7142147
847	-338.7361124
848	-338.8160101
849	-338.8615386
850	-338.910278
851	-338.9655172
852	-339.0588599
853	-339.0933593
854	-339.1417346
855	-339.1575486
856	-339.2029041
857	-339.2457804
858	-339.31661
859	-339.3610382
860	-339.3780552
861	-339.4069628
862	-339.4413058
863	-339.4931031
864	-339.5275005
865	-339.6213608
866	-339.6918164
867	-339.7376061
868	-339.7521044
869	-339.7685441
870	-339.8521427
871	-339.8774076
872	-339.9168457
873	-339.9465649
874	-340.0100614
875	-340.0819373
876	-340.1224188
877	-340.1632824
878	-340.200925
879	-340.2600185
880	-340.3302567
881	-340.3683335
882	-340.4026244
883	-340.4271899
884	-340.4661493
885	-340.5084538
886	-340.536534
887	-340.6331414
888	-340.66785
889	-340.6976172
890	-340.7282347
891	-340.7722095
892	-340.8258193
893	-340.8859771
894	-340.9017068
895	-340.9258883
896	-340.9946753
897	-341.0718793
898	-341.1237282
899	-341.1854263
900	-341.1941857
